
POST /api/v1/add-room 201 215.669 ms [29/3/2026, 5:17:39 pm]
GET /api/v1/get-user-details 200 738.943 ms [6/4/2026, 9:42:44 pm]
GET /api/v1/get-user-details 200 715.674 ms [6/4/2026, 9:42:44 pm]
GET /api/v1/get-user-details 200 237.679 ms [6/4/2026, 9:42:45 pm]
GET /api/v1/get-user-details 200 191.512 ms [6/4/2026, 9:42:54 pm]
GET /api/v1/get-user-details 200 256.823 ms [6/4/2026, 9:42:54 pm]
GET /api/v1/get-regions-for-org 304 77.563 ms [6/4/2026, 9:42:54 pm]
GET /api/v1/get-regions-for-org 304 75.817 ms [6/4/2026, 9:42:54 pm]
GET /api/v1/get-user-details 200 179.738 ms [6/4/2026, 9:42:54 pm]
GET /api/v1/get-user-details 200 270.904 ms [6/4/2026, 9:42:54 pm]
GET /api/v1/get-user-details 200 255.875 ms [6/4/2026, 9:42:54 pm]
GET /api/v1/get-user-details 200 286.602 ms [6/4/2026, 9:42:54 pm]
GET /api/v1/get-user-details 200 162.342 ms [6/4/2026, 9:42:57 pm]
GET /api/v1/get-user-details 200 235.027 ms [6/4/2026, 9:42:57 pm]
GET /api/v1/get-user-details 200 204.333 ms [6/4/2026, 9:42:57 pm]
GET /api/v1/get-user-details 200 264.782 ms [6/4/2026, 9:42:58 pm]
GET /api/v1/get-regions-for-org 304 84.789 ms [6/4/2026, 9:42:58 pm]
GET /api/v1/get-regions-for-org 304 73.584 ms [6/4/2026, 9:42:59 pm]
GET /api/v1/get-user-details - - ms [6/4/2026, 9:42:59 pm]
GET /api/v1/get-user-details 200 265.766 ms [6/4/2026, 9:43:00 pm]
GET /api/v1/get-user-details - - ms [6/4/2026, 9:43:05 pm]
GET /api/v1/get-user-details 200 225.127 ms [6/4/2026, 9:43:09 pm]
GET /api/v1/get-user-details 200 218.223 ms [6/4/2026, 9:43:09 pm]
GET /api/v1/get-regions-for-org 304 76.700 ms [6/4/2026, 9:43:12 pm]
GET /api/v1/get-regions-for-org - - ms [6/4/2026, 9:43:12 pm]
GET /api/v1/get-user-details - - ms [6/4/2026, 9:43:12 pm]
GET /api/v1/get-user-details 200 241.981 ms [6/4/2026, 9:43:12 pm]
GET /api/v1/get-user-details 200 197.313 ms [6/4/2026, 9:43:13 pm]
GET /api/v1/get-user-details 200 190.389 ms [6/4/2026, 9:43:13 pm]
GET /api/v1/get-regions-for-org 200 89.236 ms [6/4/2026, 9:43:13 pm]
GET /api/v1/get-regions-for-org 304 88.339 ms [6/4/2026, 9:43:13 pm]
GET /api/v1/get-user-details 200 246.627 ms [6/4/2026, 9:43:13 pm]
GET /api/v1/get-user-details 200 250.104 ms [6/4/2026, 9:43:13 pm]
GET /api/v1/get-user-details 200 310.710 ms [6/4/2026, 9:43:13 pm]
GET /api/v1/get-user-details 200 188.284 ms [6/4/2026, 9:43:18 pm]
GET /api/v1/get-regions-for-org 304 116.855 ms [6/4/2026, 9:43:18 pm]
GET /api/v1/get-user-details 200 303.970 ms [6/4/2026, 9:43:18 pm]
GET /api/v1/get-regions-for-org 304 77.339 ms [6/4/2026, 9:43:18 pm]
GET /api/v1/get-user-details 200 153.852 ms [6/4/2026, 9:43:18 pm]
GET /api/v1/get-user-details 200 272.116 ms [6/4/2026, 9:43:18 pm]
GET /api/v1/get-user-details 200 253.277 ms [6/4/2026, 9:43:18 pm]
GET /api/v1/get-user-details 200 291.944 ms [6/4/2026, 9:43:18 pm]
GET /api/v1/get-sub-regions-for-org/:regionId/Rajasthan 404 18.841 ms [6/4/2026, 9:58:11 pm]
GET /api/v1/get-sub-regions-for-org/:regionId/Karnataka 404 7.108 ms [6/4/2026, 9:58:35 pm]
GET /api/v1/get-sub-regions-for-org/:regionId/Goa 404 4.361 ms [6/4/2026, 9:58:55 pm]
GET /api/v1/get-sub-regions-for-org/:regionId/Karnataka 404 2.861 ms [6/4/2026, 9:59:20 pm]
GET /api/v1/get-sub-regions-for-org/:regionId/69c90be32deef073dfdb1513 404 3.388 ms [6/4/2026, 10:01:43 pm]
GET /api/v1/get-sub-regions-for-org/:regionId/69c90aa82deef073dfdb14ab 404 1.996 ms [6/4/2026, 10:02:28 pm]
GET /api/v1/get-sub-regions-for-org/:regionId/69c90a802deef073dfdb14a4 404 0.751 ms [6/4/2026, 10:03:10 pm]
GET /api/v1/get-sub-regions-for-org/:regionId/69c90aa82deef073dfdb14ab 404 1.304 ms [6/4/2026, 10:04:07 pm]
GET /api/v1/get-sub-regions-for-org/69c90be32deef073dfdb1513 200 197.727 ms [6/4/2026, 10:09:14 pm]
GET /api/v1/get-sub-regions-for-org/69c90a802deef073dfdb14a4 200 112.696 ms [6/4/2026, 10:09:49 pm]
GET /api/v1/get-regions-for-org 304 125.936 ms [6/4/2026, 10:10:55 pm]
GET /api/v1/get-regions-for-org 304 87.662 ms [6/4/2026, 10:10:56 pm]
GET /api/v1/get-user-details 200 320.995 ms [6/4/2026, 10:10:56 pm]
GET /api/v1/get-user-details 200 303.560 ms [6/4/2026, 10:10:56 pm]
GET /api/v1/get-regions-for-org 304 86.151 ms [6/4/2026, 10:10:57 pm]
GET /api/v1/get-regions-for-org 304 83.168 ms [6/4/2026, 10:10:57 pm]
GET /api/v1/get-user-details 200 321.325 ms [6/4/2026, 10:10:57 pm]
GET /api/v1/get-user-details 200 315.964 ms [6/4/2026, 10:10:57 pm]
GET /api/v1/get-sub-regions-for-org/69c90be32deef073dfdb1513 200 129.038 ms [6/4/2026, 10:10:59 pm]
GET /api/v1/get-sub-regions-for-org/69c90be32deef073dfdb1513 304 115.824 ms [6/4/2026, 10:11:40 pm]
GET /api/v1/get-regions-for-org 304 151.543 ms [6/4/2026, 10:13:31 pm]
GET /api/v1/get-regions-for-org 304 137.320 ms [6/4/2026, 10:13:31 pm]
GET /api/v1/get-user-details 200 377.024 ms [6/4/2026, 10:13:31 pm]
GET /api/v1/get-user-details 200 333.351 ms [6/4/2026, 10:13:31 pm]
GET /api/v1/get-sub-regions-for-org/69c90a5f2deef073dfdb149d 200 109.697 ms [6/4/2026, 10:13:34 pm]
GET /api/v1/get-sub-regions-for-org/69c90aa82deef073dfdb14ab 200 135.514 ms [6/4/2026, 10:14:04 pm]
GET /api/v1/get-sub-regions-for-org/69c90aa82deef073dfdb14ab 304 87.779 ms [6/4/2026, 10:14:48 pm]
GET /api/v1/get-sub-regions-for-org/69c90a802deef073dfdb14a4 200 88.236 ms [6/4/2026, 10:15:29 pm]
GET /api/v1/get-sub-regions-for-org/69c90a802deef073dfdb14a4 304 100.080 ms [6/4/2026, 10:15:56 pm]
GET /api/v1/get-sub-regions-for-org/69c90a5f2deef073dfdb149d 304 191.527 ms [6/4/2026, 10:40:48 pm]
GET /api/v1/get-regions-for-org 304 121.542 ms [6/4/2026, 11:05:28 pm]
GET /api/v1/get-regions-for-org 304 114.644 ms [6/4/2026, 11:05:29 pm]
GET /api/v1/get-user-details 200 415.685 ms [6/4/2026, 11:05:29 pm]
GET /api/v1/get-user-details 200 346.132 ms [6/4/2026, 11:05:29 pm]
GET /api/v1/get-sub-regions-for-org/69c90be32deef073dfdb1513 304 105.712 ms [6/4/2026, 11:05:30 pm]
GET /api/v1/get-sub-regions-for-org/69c90a5f2deef073dfdb149d 304 122.810 ms [6/4/2026, 11:08:48 pm]
POST /api/v1/add-place 404 18.993 ms [6/4/2026, 11:08:51 pm]
POST /api/v1/add-place 500 16.941 ms [6/4/2026, 11:09:34 pm]
POST /api/v1/add-place 200 24.519 ms [6/4/2026, 11:09:48 pm]
POST /api/v1/add-place 200 10.794 ms [6/4/2026, 11:10:13 pm]
POST /api/v1/add-place 200 9.060 ms [6/4/2026, 11:10:56 pm]
POST /api/v1/add-place 200 8.146 ms [6/4/2026, 11:11:04 pm]
GET /api/v1/get-regions-for-org 304 169.534 ms [6/4/2026, 11:11:09 pm]
GET /api/v1/get-regions-for-org 304 102.167 ms [6/4/2026, 11:11:09 pm]
GET /api/v1/get-user-details 200 302.968 ms [6/4/2026, 11:11:09 pm]
GET /api/v1/get-user-details 200 368.410 ms [6/4/2026, 11:11:10 pm]
GET /api/v1/get-sub-regions-for-org/69c90a5f2deef073dfdb149d 304 93.404 ms [6/4/2026, 11:11:15 pm]
POST /api/v1/add-place 200 28.358 ms [6/4/2026, 11:11:20 pm]
POST /api/v1/add-place 200 55.627 ms [6/4/2026, 11:12:14 pm]
POST /api/v1/add-place 400 12611.531 ms [6/4/2026, 11:17:59 pm]
POST /api/v1/add-place 500 77.203 ms [6/4/2026, 11:18:39 pm]
POST /api/v1/add-place 400 34963.167 ms [6/4/2026, 11:19:24 pm]
POST /api/v1/add-place 400 16457.201 ms [6/4/2026, 11:19:35 pm]
POST /api/v1/add-place 400 10705.201 ms [6/4/2026, 11:21:01 pm]
POST /api/v1/add-place 400 12742.100 ms [6/4/2026, 11:21:28 pm]
POST /api/v1/add-place 400 10086.554 ms [6/4/2026, 11:23:16 pm]
POST /api/v1/add-place 500 33487.767 ms [6/4/2026, 11:25:05 pm]
POST /api/v1/add-place 500 10848.908 ms [6/4/2026, 11:25:59 pm]
POST /api/v1/add-place 500 14285.905 ms [6/4/2026, 11:26:51 pm]
POST /api/v1/add-place 201 16300.414 ms [6/4/2026, 11:29:42 pm]
GET /api/v1/get-regions-for-org 304 21359.925 ms [7/4/2026, 7:36:05 am]
GET /api/v1/get-user-details 200 21536.166 ms [7/4/2026, 7:36:05 am]
GET /api/v1/get-regions-for-org 200 2490.187 ms [7/4/2026, 7:36:06 am]
GET /api/v1/get-user-details 200 2705.723 ms [7/4/2026, 7:36:06 am]
GET /api/v1/get-sub-regions-for-org/69c90a5f2deef073dfdb149d 304 100.346 ms [7/4/2026, 7:36:31 am]
GET /api/v1/get-user-details 200 262.743 ms [7/4/2026, 7:36:49 am]
GET /api/v1/get-user-details 200 313.860 ms [7/4/2026, 7:36:50 am]
GET /api/v1/get-regions-for-org 304 92.235 ms [7/4/2026, 7:36:52 am]
GET /api/v1/get-regions-for-org 304 96.943 ms [7/4/2026, 7:36:52 am]
GET /api/v1/get-sub-regions-for-org/69c90af02deef073dfdb14d4 200 98.640 ms [7/4/2026, 7:36:54 am]
GET /api/v1/get-sub-regions-for-org/69c90b092deef073dfdb14dc 200 97.534 ms [7/4/2026, 7:36:59 am]
GET /api/v1/get-sub-regions-for-org/69c90ad62deef073dfdb14cb 200 145.554 ms [7/4/2026, 7:37:02 am]
GET /api/v1/get-sub-regions-for-org/69c90a262deef073dfdb1493 200 92.999 ms [7/4/2026, 7:40:39 am]
POST /api/v1/add-place 201 4495.982 ms [7/4/2026, 7:41:50 am]
GET /api/v1/get-regions-for-org 304 980.153 ms [7/4/2026, 7:39:23 pm]
GET /api/v1/get-regions-for-org 304 133.195 ms [7/4/2026, 7:39:23 pm]
GET /api/v1/get-user-details 200 1204.574 ms [7/4/2026, 7:39:23 pm]
GET /api/v1/get-user-details 200 310.320 ms [7/4/2026, 7:39:24 pm]
GET /api/v1/get-sub-regions-for-org/69c90a802deef073dfdb14a4 304 94.356 ms [7/4/2026, 7:41:06 pm]
POST /api/v1/add-place 201 5461.780 ms [7/4/2026, 7:42:07 pm]
GET /api/v1/get-user-details 200 305.521 ms [7/4/2026, 7:44:48 pm]
GET /api/v1/get-user-details 200 304.616 ms [7/4/2026, 7:44:48 pm]
GET /api/v1/get-regions-for-org 304 87.400 ms [7/4/2026, 7:45:20 pm]
GET /api/v1/get-regions-for-org 304 86.733 ms [7/4/2026, 7:45:20 pm]
GET /api/v1/get-regions-for-org 304 100.850 ms [7/4/2026, 7:45:25 pm]
GET /api/v1/get-regions-for-org 304 82.242 ms [7/4/2026, 7:45:25 pm]
GET /api/v1/get-vehicles?page=1&limit=4 200 437.705 ms [7/4/2026, 7:45:25 pm]
GET /api/v1/get-vehicles?page=1&limit=4 200 393.879 ms [7/4/2026, 7:45:25 pm]
GET /api/v1/get-user-details 200 1011.573 ms [7/4/2026, 7:45:26 pm]
GET /api/v1/get-user-details 200 281.821 ms [7/4/2026, 7:45:26 pm]
GET /api/v1/get-hotels?page=1&limit=4 304 305.687 ms [7/4/2026, 7:46:48 pm]
GET /api/v1/get-hotels?page=1&limit=4 304 317.273 ms [7/4/2026, 7:46:48 pm]
GET /api/v1/get-user-details 200 198.229 ms [7/4/2026, 7:46:56 pm]
GET /api/v1/get-user-details 200 205.013 ms [7/4/2026, 7:46:57 pm]
GET /api/v1/get-master-region?page=1&limit=5 200 184.154 ms [7/4/2026, 7:46:59 pm]
GET /api/v1/get-master-region?page=1&limit=5 304 161.267 ms [7/4/2026, 7:46:59 pm]
GET /api/v1/get-all-organization-for-super-admin 200 170.160 ms [7/4/2026, 7:47:11 pm]
GET /api/v1/get-all-organization-for-super-admin 304 230.804 ms [7/4/2026, 7:47:11 pm]
GET /api/v1/get-sub-regions?page=1&limit=5 200 281.727 ms [7/4/2026, 7:55:58 pm]
GET /api/v1/get-sub-regions?page=1&limit=5 304 255.376 ms [7/4/2026, 7:55:58 pm]
GET /api/v1/get-user-details 200 298.757 ms [7/4/2026, 8:09:41 pm]
GET /api/v1/get-user-details 200 245.781 ms [7/4/2026, 8:09:41 pm]
GET /api/v1/get-user-details - - ms [7/4/2026, 8:09:42 pm]
GET /api/v1/get-user-details - - ms [7/4/2026, 8:09:42 pm]
GET /api/v1/get-user-details 200 138.804 ms [7/4/2026, 8:09:43 pm]
GET /api/v1/get-user-details 200 167.585 ms [7/4/2026, 8:09:43 pm]
GET /api/v1/get-user-details 200 223.983 ms [7/4/2026, 8:09:43 pm]
GET /api/v1/get-user-details 200 222.479 ms [7/4/2026, 8:09:43 pm]
GET /api/v1/get-user-details 200 172.742 ms [7/4/2026, 8:09:54 pm]
GET /api/v1/get-user-details 200 155.476 ms [7/4/2026, 8:09:54 pm]
GET /api/v1/get-user-details - - ms [7/4/2026, 8:09:54 pm]
GET /api/v1/get-user-details 200 159.441 ms [7/4/2026, 8:09:55 pm]
GET /api/v1/get-user-details 200 147.093 ms [7/4/2026, 8:09:55 pm]
GET /api/v1/get-user-details 200 275.217 ms [7/4/2026, 8:09:55 pm]
GET /api/v1/get-user-details 200 235.679 ms [7/4/2026, 8:09:55 pm]
GET /api/v1/get-user-details 200 195.234 ms [7/4/2026, 8:10:42 pm]
GET /api/v1/get-user-details 200 150.315 ms [7/4/2026, 8:10:42 pm]
GET /api/v1/get-user-details 200 271.484 ms [7/4/2026, 8:10:42 pm]
GET /api/v1/get-user-details 200 301.830 ms [7/4/2026, 8:10:43 pm]
GET /api/v1/get-user-details 200 147.970 ms [7/4/2026, 8:10:52 pm]
GET /api/v1/get-user-details 200 167.085 ms [7/4/2026, 8:10:52 pm]
GET /api/v1/get-user-details 200 286.359 ms [7/4/2026, 8:10:52 pm]
GET /api/v1/get-user-details 200 238.491 ms [7/4/2026, 8:10:52 pm]
GET /api/v1/get-user-details 200 214.355 ms [7/4/2026, 8:10:57 pm]
GET /api/v1/get-user-details 200 144.579 ms [7/4/2026, 8:10:57 pm]
GET /api/v1/get-user-details 200 257.056 ms [7/4/2026, 8:10:57 pm]
GET /api/v1/get-user-details 200 216.052 ms [7/4/2026, 8:10:57 pm]
GET /api/v1/get-user-details 200 151.192 ms [7/4/2026, 8:11:02 pm]
GET /api/v1/get-user-details 200 210.874 ms [7/4/2026, 8:11:02 pm]
GET /api/v1/get-user-details 200 269.250 ms [7/4/2026, 8:11:02 pm]
GET /api/v1/get-user-details 200 334.883 ms [7/4/2026, 8:11:02 pm]
GET /api/v1/get-user-details 200 192.588 ms [7/4/2026, 8:11:13 pm]
GET /api/v1/get-user-details 200 157.567 ms [7/4/2026, 8:11:13 pm]
GET /api/v1/get-user-details 200 253.260 ms [7/4/2026, 8:11:13 pm]
GET /api/v1/get-user-details 200 241.613 ms [7/4/2026, 8:11:13 pm]
GET /api/v1/get-user-details 200 197.279 ms [7/4/2026, 8:11:17 pm]
GET /api/v1/get-user-details 200 172.506 ms [7/4/2026, 8:11:17 pm]
GET /api/v1/get-user-details 200 235.061 ms [7/4/2026, 8:11:17 pm]
GET /api/v1/get-user-details 200 318.351 ms [7/4/2026, 8:11:17 pm]
GET /api/v1/get-user-details 200 161.248 ms [7/4/2026, 8:11:32 pm]
GET /api/v1/get-user-details 200 197.508 ms [7/4/2026, 8:11:32 pm]
GET /api/v1/get-user-details 200 264.041 ms [7/4/2026, 8:11:32 pm]
GET /api/v1/get-user-details 200 232.838 ms [7/4/2026, 8:11:32 pm]
GET /api/v1/get-user-details 200 188.702 ms [7/4/2026, 8:11:53 pm]
GET /api/v1/get-user-details 200 159.718 ms [7/4/2026, 8:11:53 pm]
GET /api/v1/get-user-details 200 211.009 ms [7/4/2026, 8:11:53 pm]
GET /api/v1/get-user-details 200 385.392 ms [7/4/2026, 8:11:53 pm]
GET /api/v1/get-user-details 200 154.991 ms [7/4/2026, 8:11:55 pm]
GET /api/v1/get-user-details 200 155.249 ms [7/4/2026, 8:11:55 pm]
GET /api/v1/get-user-details 200 263.855 ms [7/4/2026, 8:11:55 pm]
GET /api/v1/get-user-details 200 230.044 ms [7/4/2026, 8:11:55 pm]
GET /api/v1/get-user-details 200 204.124 ms [7/4/2026, 8:11:59 pm]
GET /api/v1/get-user-details 200 162.423 ms [7/4/2026, 8:11:59 pm]
GET /api/v1/get-user-details 200 278.234 ms [7/4/2026, 8:11:59 pm]
GET /api/v1/get-user-details 200 245.763 ms [7/4/2026, 8:11:59 pm]
GET /api/v1/get-user-details 200 288.221 ms [7/4/2026, 8:15:38 pm]
GET /api/v1/get-user-details 200 258.521 ms [7/4/2026, 8:15:38 pm]
GET /api/v1/get-user-details 200 262.508 ms [7/4/2026, 8:17:59 pm]
GET /api/v1/get-user-details 200 258.918 ms [7/4/2026, 8:17:59 pm]
GET /api/v1/get-places?page=1&limit=10 500 184.956 ms [7/4/2026, 8:20:11 pm]
GET /api/v1/get-places?page=1&limit=10 500 162.599 ms [7/4/2026, 8:20:11 pm]
GET /api/v1/get-places?page=1&limit=10 500 239.664 ms [7/4/2026, 8:20:12 pm]
GET /api/v1/get-places?page=1&limit=10 500 229.353 ms [7/4/2026, 8:20:12 pm]
GET /api/v1/get-places?page=1&limit=10 500 235.574 ms [7/4/2026, 8:20:12 pm]
GET /api/v1/get-places?page=1&limit=10 500 155.963 ms [7/4/2026, 8:20:12 pm]
GET /api/v1/get-places?page=1&limit=10 500 188.279 ms [7/4/2026, 8:20:12 pm]
GET /api/v1/get-places?page=1&limit=10 500 175.145 ms [7/4/2026, 8:20:13 pm]
GET /api/v1/get-places?page=1&limit=10 500 194.734 ms [7/4/2026, 8:20:13 pm]
GET /api/v1/get-places?page=1&limit=10 500 245.382 ms [7/4/2026, 8:20:13 pm]
GET /api/v1/get-places?page=1&limit=10 500 234.985 ms [7/4/2026, 8:20:13 pm]
GET /api/v1/get-places?page=1&limit=10 500 183.794 ms [7/4/2026, 8:20:13 pm]
GET /api/v1/get-places?page=1&limit=10 500 204.718 ms [7/4/2026, 8:20:14 pm]
GET /api/v1/get-places?page=1&limit=10 500 236.847 ms [7/4/2026, 8:20:14 pm]
GET /api/v1/get-places?page=1&limit=10 500 174.642 ms [7/4/2026, 8:20:14 pm]
GET /api/v1/get-places?page=1&limit=10 500 219.603 ms [7/4/2026, 8:20:14 pm]
GET /api/v1/get-places?page=1&limit=10 500 241.174 ms [7/4/2026, 8:20:15 pm]
GET /api/v1/get-places?page=1&limit=10 500 231.719 ms [7/4/2026, 8:20:15 pm]
GET /api/v1/get-places?page=1&limit=10 500 174.548 ms [7/4/2026, 8:20:15 pm]
GET /api/v1/get-places?page=1&limit=10 500 159.258 ms [7/4/2026, 8:20:15 pm]
GET /api/v1/get-places?page=1&limit=10 500 221.291 ms [7/4/2026, 8:20:15 pm]
GET /api/v1/get-places?page=1&limit=10 500 215.850 ms [7/4/2026, 8:20:16 pm]
GET /api/v1/get-places?page=1&limit=10 500 179.224 ms [7/4/2026, 8:20:16 pm]
GET /api/v1/get-places?page=1&limit=10 500 181.452 ms [7/4/2026, 8:20:16 pm]
GET /api/v1/get-places?page=1&limit=10 500 214.740 ms [7/4/2026, 8:20:16 pm]
GET /api/v1/get-places?page=1&limit=10 500 166.964 ms [7/4/2026, 8:20:16 pm]
